   45  0.007996533 775.0 0.0 1.6 0.008642241 812.5001 0.0 1.6 0.009192871 850.0 0.0 1.6
   46  0.009192871 850.0 0.0 1.4 0.009800755 887.49994 0.0 1.4 0.0104183545 925.0 0.0 1.4
   47  0.0104183545 925.0 0.0 1.2 0.011026239 962.5 0.0 1.2 0.011648177 1000.0 0.0 1.2
   49  0.011648177 1000.0 0.0 1.1 11.695089 1027.6318 0.0 1.1 23.37855 1055.2676 0.0 1.1
   48  0.011648177 1000.0 0.0 1.1 -11.669942 1027.6323 0.0 1.1 -23.352028 1055.2684 0.0 1.1
   51  23.37855 1055.2676 0.0 1.1 35.060993 1082.8975 0.0 1.1 46.74449 1110.5272 0.0 1.1
   50  -23.352028 1055.2684 0.0 1.1 -35.0342 1082.8987 0.0 1.1 -46.716194 1110.5288 0.0 1.1
   53  46.74449 1110.5272 0.0 1.1 58.426914 1138.157 0.0 1.1 70.110405 1165.7869 0.0 1.1
   52  -46.716194 1110.5288 0.0 1.1 -58.39841 1138.1588 0.0 1.1 -70.08056 1165.7892 0.0 1.1
   55  70.110405 1165.7869 0.0 1.1 81.7928 1193.4166 0.0 1.1 93.47627 1221.0565 0.0 1.1
   54  -70.08056 1165.7892 0.0 1.1 -81.762665 1193.4192 0.0 1.1 -93.44476 1221.0594 0.0 1.1
