    	34 		 	83.008255	 30.0	 -196.33209	 0.837945  	109.909424	 30.0	 -222.45853	 0.837945  	136.81061	 30.0	 -248.58508	 0.837945  
    	23 		 	213.15985	 30.0	 -58.413044	 1.33333  	247.69913	 30.0	 -73.01604	 1.33333  	282.23932	 30.0	 -87.61938	 1.33333  
    	22 		 	219.07907	 30.0	 29.206625	 0.837945  	256.5799	 30.0	 29.20671	 0.837945  	294.0797	 30.0	 29.206823	 0.837945  
    	21 		 	196.33261	 30.001175	 83.00878	 0.837945  	222.4586	 30.001863	 109.909424	 0.837945  	248.58505	 30.001787	 136.8104	 0.837945  
    	10 		 	-213.15952	 30.0	 58.412918	 1.33333  	-247.69931	 30.0	 73.01611	 1.33333  	-282.23907	 30.0	 87.6193	 1.33333  
    	9 		 	-219.07924	 30.0	 -29.205978	 0.837945  	-256.57977	 30.0	 -29.206642	 0.837945  -294.0799	 30.0	 -29.206383	 0.837945  
    	8 		 	-196.3322	 30.0	 -83.008194	 0.837945  	-222.45906	 30.0	 -109.90842	 0.837945  -248.58539	 30.0	 -136.80992	 0.837945  
    	50 		 	-136.80995	 30.0	 248.58582	 0.837945  	-163.71089	 30.0	 274.7125	 0.837945  	-190.61145	 30.0	 300.83826	 0.837945  
    	37 		 	136.81061	 30.0	 -248.58508	 0.837945  	163.71075	 30.0	 -274.71155	 0.837945  	190.61191	 30.0	 -300.83807	 0.837945  
    	24 		 	248.58505	 30.001787	 136.8104	 0.837945  	274.71106	 30.00246	 163.71103	 0.837945  	300.83807	 30.002945	 190.61269	 0.837945  
    	11 		 	-248.58539	 30.0	 -136.80992	 0.837945  	-274.71222	 30.0	 -163.71011	 0.837945  	-300.83856	 30.0	 -190.6116	 0.837945  
    	51 		 	-190.61145	 30.0	 300.83826	 0.837945  	-217.51231	 30.0	 326.965	 0.837945  	-244.41327	 30.0	 353.0917	 0.837945  
    	38 		 	190.61191	 30.0	 -300.83807	 0.837945  	217.51318	 30.0	 -326.96368	 0.837945  	244.41437	 30.0	 -353.0902	 0.837945  
    	25 		 	300.83807	 30.002945	 190.61269	 0.837945  	326.96402	 30.003649	 217.51332	 0.837945  	353.0905	 30.003546	 244.4143	 0.837945  
    	12 		 	-300.83856	 30.0	 -190.6116	 0.837945  	-326.96542	 30.0	 -217.51178	 0.837945  	-353.09177	 30.0	 -244.41327	 0.837945  
    	52 		 	-244.41327	 30.0	 353.0917	 0.837945  	-271.31393	 30.0	 379.21848	 0.837945  	-298.21524	 30.0	 405.34393	 0.837945  
    	39 		 	244.41437	 30.0	 -353.0902	 0.837945  	271.3145	 30.0	 -379.21667	 0.837945  	298.2157	 30.0	 -405.34326	 0.837945  
    	26 		 	353.0905	 30.003546	 244.4143	 0.837945  	379.21698	 30.004847	 271.3156	 0.837945  	405.34344	 30.004784	 298.21655	 0.837945  
    	13 		 	-353.09177	 30.0	 -244.41327	 0.837945  	-379.21768	 30.0	 -271.31387	 0.837945  	-405.34497	 30.0	 -298.215	 0.837945  
    	53 		 	-298.21524	 30.0	 405.34393	 0.837945  	-325.11603	 30.0	 431.47073	 0.837945  	-352.01678	 30.0	 457.5975	 0.837945  
    	40 		 	298.2157	 30.0	 -405.34326	 0.837945  	325.11685	 30.0	 -431.4698	 0.837945  	352.01804	 30.0	 -457.59634	 0.837945  
    	27 		 	405.34344	 30.004784	 298.21655	 0.837945  	431.46942	 30.005459	 325.11725	 0.837945  	457.59644	 30.005962	 352.01886	 0.837945  
    	14 		 	-405.34497	 30.0	 -298.215	 0.837945  	-431.4709	 30.0	 -325.11557	 0.837945  	-457.59814	 30.0	 -352.01666	 0.837945
